Число избирателей, внесенных в список на момент окончания голосования	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования в день голосования	Число  погашенных избирательных бюллетеней	Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования	Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Андрейченко Андрей Валерьевич	Кожемяко Олег Николаевич	Тимченко Алексей Павлович	Чемерис Роза Басировна
УИК №3015	1968	2000	0	603	12	1385	12	601	45	568	0	0	203	285	61	19
УИК №3016	1431	1460	0	546	2	912	2	546	26	522	0	0	243	212	40	27
УИК №3017	1396	1400	0	480	7	913	7	478	26	459	0	0	207	216	19	17
УИК №3018	1920	1900	0	700	11	1189	11	700	60	651	0	0	254	319	46	32
УИК №3019	862	880	0	313	2	565	2	313	24	291	0	0	119	126	30	16
УИК №3020	637	640	0	241	3	396	3	241	11	233	0	0	77	125	19	12
УИК №3021	1146	1140	8	247	2	883	10	247	15	242	0	0	106	111	17	8
УИК №3022	502	500	0	141	1	358	1	141	6	136	0	0	60	57	10	9
УИК №3023	535	550	0	164	11	375	11	164	18	157	0	0	77	54	20	6
УИК №3024	247	250	0	67	1	182	1	67	5	63	0	0	29	24	6	4
УИК №3025	257	250	0	57	5	188	5	57	4	58	0	0	6	50	0	2
УИК №3026	964	960	0	482	34	444	34	482	33	483	0	0	144	286	23	30
УИК №3027	1447	1460	10	353	10	1087	20	353	29	344	0	0	125	176	18	25
УИК №3028	406	400	0	100	0	300	0	100	5	95	0	0	36	48	2	9
УИК №3029	200	190	0	55	0	135	0	55	2	53	0	0	18	27	2	6
УИК №3030	350	350	0	116	0	234	0	116	10	106	0	0	34	57	10	5
УИК №3031	472	480	2	125	13	340	15	125	12	128	0	0	40	74	7	7
УИК №3101	1740	1400	0	737	41	622	41	737	95	683	0	0	151	458	34	40
УИК №3102	516	400	0	240	21	139	21	240	7	254	0	0	15	217	8	14
УИК №3103	1743	1400	0	600	47	753	47	600	43	604	0	0	253	280	43	28
УИК №3104	1620	1200	0	599	43	558	43	599	34	608	0	0	231	293	49	35
УИК №3105	1664	1300	0	618	55	627	55	618	24	649	0	0	214	342	52	41
УИК №3106	1010	800	0	343	56	401	56	343	36	363	0	0	134	169	44	16
УИК №3107	260	200	0	118	44	38	44	118	8	154	0	0	21	127	5	1
УИК №3108	1467	1100	0	621	116	363	116	621	22	715	0	0	174	479	32	30
УИК №3109	1039	800	0	466	120	214	120	466	6	580	0	0	134	398	22	26
УИК №3110	1641	1200	0	642	101	457	101	642	22	721	0	0	293	347	51	30
УИК №3111	1630	1300	0	654	26	620	26	654	30	650	0	0	162	413	26	49
УИК №3112	320	300	0	155	84	61	84	155	2	237	0	0	23	214	0	0
УИК №3113	1486	1200	0	570	59	571	59	570	42	587	0	0	192	316	41	38
УИК №3114	414	350	0	133	5	212	5	133	7	131	0	0	50	67	9	5
УИК №3115	999	800	0	549	93	158	93	549	15	627	0	0	128	446	25	28
УИК №3116	681	600	0	266	260	74	260	266	3	523	0	0	21	492	3	7
УИК №3117	444	400	0	240	71	89	71	240	5	306	0	0	32	258	10	6
УИК №3118	172	150	0	97	42	11	42	97	1	138	0	0	8	121	2	7
УИК №3119	523	450	0	232	54	164	54	232	8	278	0	0	68	184	11	15
УИК №3120	288	250	0	119	41	90	41	119	7	153	0	0	31	107	12	3
УИК №3121	298	250	0	132	30	88	30	132	7	155	0	0	26	128	1	0
УИК №3122	406	350	0	207	24	119	24	207	16	215	0	0	38	163	8	6
УИК №3123	132	120	0	65	3	52	3	65	5	63	0	0	24	33	4	2
УИК №3124	771	650	0	437	151	62	151	437	8	580	0	0	50	506	14	10
УИК №3125	1045	950	0	487	384	79	384	487	3	868	0	0	38	811	11	8
УИК №3126	754	700	0	502	88	110	88	502	2	588	0	0	72	509	4	3
УИК №3127	289	250	0	220	30	0	30	220	39	211	0	0	21	183	1	6
УИК №3201	1820	1800	0	1556	41	203	41	1556	63	1534	0	0	358	1010	77	89
УИК №3202	1334	1300	0	464	56	780	56	464	27	493	0	0	172	273	32	16
УИК №3203	313	300	0	214	39	47	39	214	3	250	0	0	52	185	8	5
УИК №3204	1734	1750	0	1104	54	592	54	1104	31	1127	0	0	254	812	29	32
УИК №3205	1741	1700	0	627	59	1014	59	627	31	655	0	0	202	397	27	29
УИК №3206	1715	1750	0	767	46	937	46	767	35	778	0	0	215	480	50	33
УИК №3207	1737	1700	0	849	202	649	202	849	31	1020	0	0	218	740	27	35
УИК №3208	1309	1300	0	751	141	408	141	751	30	862	0	0	136	683	23	20
УИК №3209	473	450	58	222	27	143	85	222	24	283	0	0	45	218	15	5
УИК №3210	419	400	0	300	24	76	24	300	8	316	0	0	55	248	7	6
УИК №3211	300	300	0	197	7	96	7	197	3	201	0	0	13	183	3	2
УИК №3212	638	650	0	375	31	244	31	375	14	392	0	0	30	350	7	5
УИК №3213	1486	1500	0	963	144	393	144	963	22	1085	0	0	167	862	28	28
УИК №3214	359	350	0	157	84	109	84	157	1	240	0	0	23	213	3	1
УИК №3215	528	500	15	320	44	121	59	320	7	372	0	0	87	265	6	14
УИК №3216	199	200	0	143	26	31	26	143	0	169	0	0	12	153	1	3
УИК №3217	188	200	0	111	13	76	13	111	2	122	0	0	21	97	3	1
УИК №3218	747	700	0	570	6	124	6	570	9	567	0	0	105	413	21	28
УИК №3219	278	200	0	127	62	11	62	127	5	184	0	0	55	114	13	2
УИК №3220	1943	1800	0	712	25	1063	25	712	40	697	0	0	278	337	58	24
УИК №3221	1925	1800	0	724	29	1047	29	724	54	699	0	0	296	305	50	48
УИК №3222	781	700	0	507	33	160	33	507	21	519	0	0	86	412	15	6
УИК №3223	1401	1300	0	902	48	350	48	902	27	923	0	0	196	684	29	14
УИК №3224	1680	1500	0	927	120	453	120	927	29	1018	0	0	201	758	37	22
УИК №3225	2281	2200	0	1702	243	255	243	1702	40	1905	0	0	125	1692	41	47
УИК №3226	597	500	0	344	95	61	95	344	12	427	0	0	35	373	12	7
УИК №3227	156	150	0	132	13	5	13	132	0	145	0	0	31	105	4	5
УИК №3228	351	300	0	231	57	12	57	231	6	282	0	0	24	245	5	8
УИК №3301	272	280	0	242	2	36	2	242	1	243	0	0	21	218	1	3
УИК №3302	167	160	0	145	8	7	8	145	0	153	0	0	7	135	6	5
УИК №3303	450	450	57	286	12	95	69	286	6	349	0	0	28	312	4	5
УИК №3304	143	150	0	60	2	88	2	60	3	59	0	0	3	56	0	0
УИК №3305	963	950	0	485	20	445	20	485	18	487	0	0	111	325	25	26
УИК №3306	793	800	0	472	27	301	27	472	6	493	0	0	22	432	19	20
УИК №3307	342	350	0	202	29	119	29	202	11	220	0	0	25	181	9	5
УИК №3308	234	230	0	123	14	93	14	123	2	135	0	0	32	96	2	5
УИК №3309	708	700	0	233	15	452	15	233	10	238	0	0	88	123	17	10
УИК №3310	576	570	0	447	20	103	20	447	0	467	0	0	14	425	17	11
УИК №3311	668	650	0	410	45	195	45	410	7	448	0	0	46	387	8	7
УИК №3312	1154	1100	0	728	76	296	76	728	2	802	0	0	39	739	13	11
УИК №3313	599	570	0	210	12	348	12	210	12	210	0	0	83	102	13	12
УИК №3314	493	500	0	184	5	311	5	184	5	184	0	0	69	89	14	12
УИК №3315	1073	1100	0	411	13	676	13	411	23	401	0	0	180	151	44	26
УИК №3316	810	800	0	527	42	231	42	527	23	546	0	0	56	468	12	10
УИК №3317	1267	1250	0	660	90	500	90	660	28	722	0	0	182	476	36	28
УИК №3318	846	800	0	567	100	133	100	567	17	650	0	0	64	569	8	9
УИК №3319	178	170	0	87	0	83	0	87	6	81	0	0	19	54	3	5
УИК №3320	235	230	0	150	0	80	0	150	0	150	0	0	36	107	3	4
УИК №3321	522	500	0	278	65	157	65	278	11	332	0	0	61	253	12	6
УИК №3322	665	650	65	167	68	350	133	167	19	281	0	0	59	212	8	2
УИК №3323	115	100	0	47	3	50	3	47	1	49	0	0	12	33	1	3
УИК №3324	749	750	41	384	31	294	72	384	7	449	0	0	46	391	6	6
УИК №3325	367	370	57	119	29	165	86	119	12	193	0	0	44	139	7	3
УИК №3326	314	300	0	114	15	171	15	114	3	126	0	0	30	92	2	2
УИК №3327	849	850	30	229	23	568	53	229	11	271	0	0	51	187	14	19
УИК №3328	944	950	56	508	40	346	96	508	17	587	0	0	92	453	31	11
УИК №3329	232	230	0	115	7	108	7	115	0	122	0	0	18	94	10	0
УИК №3330	625	620	0	272	19	329	19	272	26	265	0	0	37	214	10	4
УИК №3331	166	170	0	119	16	35	16	119	3	132	0	0	7	116	9	0
УИК №3332	300	300	0	212	16	72	16	212	1	227	0	0	8	208	5	6
УИК №3401	647	600	0	344	29	227	29	344	26	347	0	0	64	253	18	12
УИК №3402	955	900	0	370	10	520	10	370	21	359	0	0	117	177	36	29
УИК №3403	1010	1000	0	412	7	581	7	412	33	386	0	0	145	192	25	24
УИК №3404	1087	1000	0	426	15	559	15	426	27	414	0	0	135	224	37	18
УИК №3405	1005	1000	0	339	5	656	5	339	15	329	0	0	130	151	27	21
УИК №3406	1163	1000	0	513	6	481	6	513	33	486	0	0	151	251	46	38
УИК №3407	977	900	0	316	15	569	15	316	20	311	0	0	118	151	27	15
УИК №3408	959	900	0	310	6	584	6	310	22	294	0	0	105	142	29	18
УИК №3409	1118	1000	0	369	9	622	9	369	23	355	0	0	132	165	32	26
УИК №3410	1123	1000	0	492	3	505	3	448	54	397	0	0	100	221	42	34
УИК №3411	1090	1000	0	513	2	485	2	513	19	496	0	0	184	228	45	39
УИК №3412	510	600	0	155	0	445	0	155	17	138	0	0	56	59	14	9
УИК №3413	745	700	0	435	0	265	0	435	19	416	0	0	119	188	57	52
УИК №3414	312	300	0	97	1	202	1	97	5	93	0	0	33	44	7	9
УИК №3415	1036	1000	0	358	5	637	5	358	25	338	0	0	122	175	19	22
УИК №3416	1087	1000	0	282	9	709	9	282	29	262	0	0	97	130	21	14
УИК №3417	1045	1000	0	418	2	580	2	418	34	386	0	0	136	187	29	34
УИК №3418	1116	1000	0	440	3	557	3	440	29	414	0	0	162	183	47	22
УИК №3419	1025	1000	0	412	4	584	4	412	23	393	0	0	139	179	48	27
УИК №3420	1095	1000	0	442	4	554	4	442	21	425	0	0	169	197	37	22
УИК №3421	1090	1000	0	436	9	555	9	436	19	426	0	0	154	196	38	38
УИК №3422	1151	1000	0	478	1	521	1	478	16	463	0	0	186	188	45	44
УИК №3480	121	124	0	115	6	3	6	115	6	115	0	0	43	39	23	10
УИК №6250	72	74	0	72	0	2	0	72	3	69	0	0	2	65	2	0
УИК №3501	753	700	0	338	6	356	6	338	19	325	0	0	77	218	13	17
УИК №3502	685	650	0	540	10	100	10	540	10	540	0	0	15	495	20	10
УИК №3503	702	700	0	277	8	415	8	277	10	275	0	0	86	173	7	9
УИК №3504	704	700	0	618	8	74	8	618	15	611	0	0	20	536	37	18
УИК №3505	707	700	26	309	2	363	28	309	9	328	0	0	49	251	14	14
УИК №3506	364	350	0	153	11	186	11	153	7	157	0	0	47	99	5	6
УИК №3507	269	250	0	116	10	124	10	116	2	124	0	0	34	83	4	3
УИК №3508	353	350	0	123	11	216	11	123	3	131	0	0	27	97	2	5
УИК №3509	95	90	0	36	5	49	5	36	1	40	0	0	21	18	1	0
УИК №3510	129	100	0	37	13	50	13	37	1	49	0	0	8	37	4	0
УИК №3511	276	280	0	111	12	157	12	111	11	112	0	0	17	86	4	5
УИК №3512	67	60	0	52	3	5	3	52	2	53	0	0	3	49	1	0
УИК №3513	85	80	0	58	5	17	5	58	3	60	0	0	5	53	1	1
УИК №3514	489	450	11	170	12	257	23	170	3	190	0	0	64	111	10	5
УИК №3515	569	550	0	194	32	324	32	194	9	217	0	0	62	138	10	7
УИК №3516	538	500	0	154	22	324	22	154	6	170	0	0	57	94	6	13
УИК №3517	285	250	0	110	9	131	9	110	5	114	0	0	39	68	4	3
УИК №3518	270	250	0	100	9	141	9	100	8	101	0	0	34	55	7	5
УИК №3519	558	500	0	322	45	133	45	322	25	342	0	0	31	305	4	2
УИК №3520	539	450	0	317	81	52	81	317	4	394	0	0	52	313	17	12
УИК №3521	293	300	0	104	24	172	24	104	7	121	0	0	32	82	3	4
УИК №3522	151	120	0	64	6	50	6	64	5	65	0	0	21	36	7	1
УИК №3523	653	650	0	426	3	221	3	426	21	408	0	0	51	328	22	7
УИК №3524	255	150	0	138	0	12	0	138	1	137	0	0	28	89	2	18
УИК №3525	830	800	0	261	25	514	25	261	7	279	0	0	97	162	9	11
УИК №3526	580	500	0	383	0	117	0	383	35	348	0	0	39	299	4	6
УИК №3580	359	400	0	341	0	59	0	341	2	339	0	0	30	302	1	6
УИК №3601	509	500	0	133	65	302	65	132	10	187	0	0	55	121	6	5
УИК №3602	533	500	0	137	59	304	59	137	8	188	0	0	61	112	4	11
УИК №3603	78	60	0	32	3	25	3	32	0	35	0	0	4	29	1	1
УИК №3604	525	500	0	210	35	255	35	210	10	235	0	0	71	141	10	13
УИК №3605	139	130	0	72	10	48	10	72	5	77	0	0	21	50	3	3
УИК №3606	478	450	0	204	42	204	42	204	5	241	0	0	111	120	4	6
УИК №3607	729	650	0	204	147	299	147	204	38	313	0	0	85	185	12	31
УИК №3608	347	320	0	95	30	195	30	95	7	118	0	0	25	87	4	2
УИК №3609	718	700	0	492	13	195	13	492	12	493	0	0	86	386	14	7
УИК №3610	485	450	0	156	36	258	36	156	10	182	0	0	68	99	8	7
УИК №3611	426	400	0	160	11	229	11	160	12	159	0	0	72	74	7	6
УИК №3612	484	500	0	300	59	141	59	300	16	343	0	0	47	273	12	11
УИК №3613	105	100	0	60	22	18	22	60	0	82	0	0	9	68	5	0
УИК №3614	191	180	0	99	13	68	13	99	6	106	0	0	25	75	5	1
УИК №3615	442	400	0	159	8	233	8	159	12	155	0	0	39	100	12	4
УИК №3616	162	150	0	124	3	23	3	124	0	127	0	0	38	74	7	8
УИК №3617	108	90	0	49	4	37	4	49	0	53	0	0	10	39	2	2
УИК №3618	370	330	0	163	36	131	36	163	4	195	0	0	62	123	8	2
УИК №3619	337	320	0	132	31	157	31	132	7	156	0	0	54	83	9	10
УИК №3620	149	130	0	85	0	45	0	85	0	85	0	0	48	34	2	1
УИК №3621	121	100	0	46	13	41	13	46	0	59	0	0	15	41	0	3
УИК №3622	202	190	0	91	4	95	4	91	4	91	0	0	25	48	16	2
УИК №3623	257	230	0	67	84	79	84	67	1	150	0	0	47	90	10	3
УИК №3624	324	300	0	166	0	134	0	166	1	165	0	0	29	131	3	2
УИК №3625	533	500	0	194	28	278	28	194	17	205	0	0	41	155	5	4
УИК №3626	812	750	0	375	31	344	31	375	8	398	0	0	139	224	17	18
УИК №3627	730	700	0	236	32	432	32	236	25	243	0	0	84	134	14	11
УИК №3628	405	350	0	164	13	173	13	164	13	164	0	0	50	101	5	8
УИК №3629	147	150	0	49	9	92	9	49	6	52	0	0	7	42	1	2
УИК №3630	941	850	0	353	79	418	79	353	28	404	0	0	150	200	31	23
УИК №3631	1374	1300	0	451	120	729	120	451	26	545	0	0	191	293	36	25
УИК №3632	1401	1300	0	481	29	790	29	481	34	476	0	0	179	232	41	24
УИК №3633	638	600	0	461	23	116	23	461	8	476	0	0	71	384	13	8
УИК №3634	479	450	0	155	34	261	34	155	7	182	0	0	70	93	11	8
УИК №3635	140	140	0	86	10	44	10	86	4	92	0	0	33	53	3	3
УИК №3636	568	500	0	337	83	80	83	337	13	407	0	0	47	349	7	4
УИК №3637	1005	1000	0	344	86	570	86	344	28	402	0	0	130	226	23	23
УИК №3638	1037	1000	0	287	39	674	39	287	29	297	0	0	78	176	31	12
УИК №3639	173	150	0	37	45	68	45	37	8	74	0	0	16	35	22	1
УИК №3640	1288	1200	0	865	28	307	28	865	33	860	0	0	172	633	38	17
УИК №3641	324	280	0	136	24	120	24	136	14	146	0	0	28	107	6	5
УИК №3642	216	200	0	85	7	108	7	85	5	87	0	0	25	50	9	3
УИК №3643	406	350	0	152	16	182	16	152	5	163	0	0	66	71	19	7
УИК №3701	973	900	0	431	29	440	29	431	19	441	0	0	92	324	16	9
УИК №3702	474	426	0	265	21	140	21	265	16	270	0	0	47	204	6	13
УИК №3703	220	235	0	189	19	27	19	189	7	201	0	0	24	169	3	5
УИК №3704	93	113	0	69	15	29	15	69	3	81	0	0	5	76	0	0
УИК №3705	189	170	0	114	20	36	20	114	3	131	0	0	18	101	12	0
УИК №3706	854	792	34	383	50	325	84	383	97	370	0	0	58	305	5	2
УИК №3707	621	566	11	268	44	243	55	268	14	309	0	0	70	221	11	7
УИК №3708	194	171	0	133	7	31	7	133	10	130	0	0	18	103	4	5
УИК №3709	760	713	0	446	52	215	52	446	13	485	0	0	84	375	18	8
УИК №3710	137	138	0	107	4	27	4	107	0	111	0	0	11	92	4	4
УИК №3711	104	90	0	75	0	15	0	75	0	75	0	0	3	70	1	1
УИК №3712	836	748	0	295	57	396	57	295	6	346	0	0	64	261	5	16
УИК №3713	249	235	9	94	48	84	57	94	10	141	0	0	69	64	7	1
УИК №3714	199	214	0	106	22	86	22	106	15	113	0	0	35	69	6	3
УИК №3715	265	250	0	174	7	69	7	174	5	176	0	0	61	109	3	3
УИК №3716	261	250	0	137	15	98	15	137	4	148	0	0	51	90	2	5
УИК №3717	407	382	0	226	32	124	32	226	22	236	0	0	43	175	10	8
УИК №3718	209	191	0	155	14	22	14	155	7	162	0	0	6	149	2	5
УИК №3719	145	133	0	107	8	18	8	107	1	114	0	0	21	92	0	1
УИК №3720	205	187	0	99	10	78	10	99	9	100	0	0	7	84	7	2
УИК №3721	202	184	6	15	87	76	93	15	1	107	0	0	26	72	4	5
УИК №3722	370	339	0	160	30	149	30	160	13	177	0	0	45	115	12	5
УИК №3723	173	186	0	100	13	73	13	100	3	110	0	0	25	78	5	2
УИК №3724	209	198	0	140	21	37	21	140	6	155	0	0	20	129	6	0
УИК №3725	71	66	0	15	13	38	13	15	0	28	0	0	5	20	3	0
УИК №3901	948	900	0	509	13	378	13	509	15	507	0	0	115	351	26	15
УИК №3902	992	950	0	428	16	506	16	428	19	425	0	0	104	293	18	10
УИК №3903	589	550	0	325	34	191	34	325	6	353	0	0	35	306	8	4
УИК №3904	395	350	0	231	31	88	31	231	4	258	0	0	25	231	2	0
УИК №3905	224	200	0	155	10	35	10	155	2	163	0	0	59	97	3	4
УИК №3906	1285	1200	0	376	43	781	43	376	40	379	0	0	114	239	18	8
УИК №3907	1084	1000	0	427	10	563	10	427	23	414	0	0	64	321	17	12
УИК №3908	723	700	0	254	12	434	12	254	19	247	0	0	91	123	20	13
УИК №3909	466	450	0	307	3	140	3	307	21	289	0	0	94	147	20	28
УИК №3910	635	600	0	198	85	317	85	198	19	264	0	0	68	170	21	5
УИК №3911	564	550	0	167	94	289	94	167	14	247	0	0	53	178	11	5
УИК №3912	1183	1000	0	582	74	344	74	582	32	624	0	0	134	462	18	10
УИК №3913	918	900	0	245	11	644	11	245	13	243	0	0	94	119	18	12
УИК №3914	980	1000	0	458	49	493	49	458	9	498	0	0	136	343	8	11
УИК №3915	1094	1000	0	430	9	561	9	430	12	427	0	0	129	253	24	21
УИК №3916	1495	1300	0	491	2	807	2	491	23	470	0	0	117	316	20	17
УИК №3917	627	600	0	206	15	379	15	206	17	204	0	0	61	125	10	8
УИК №3918	494	430	0	172	14	244	14	172	12	174	0	0	52	98	10	14
УИК №3919	301	300	0	100	5	195	5	100	6	99	0	0	32	60	4	3
УИК №3920	242	200	0	86	7	107	7	86	6	87	0	0	22	52	6	7
УИК №3921	470	450	0	169	15	266	15	169	8	176	0	0	60	93	10	13
УИК №3922	942	900	0	369	29	502	29	369	10	388	0	0	82	267	20	19
УИК №3923	857	900	0	338	23	539	23	338	12	349	0	0	106	212	22	9
УИК №3924	124	115	0	41	10	64	10	41	0	51	0	0	17	24	3	7
УИК №3925	171	155	0	42	12	101	12	42	3	51	0	0	13	36	2	0
