УИК №844	2004	1900	0	559	3	1338	3	559	5	557	0	0	353	204
УИК №845	1959	1900	0	498	2	1400	2	498	10	490	0	0	295	195
УИК №846	1352	1400	0	346	3	1051	3	346	3	346	0	0	236	110
УИК №847	1862	1800	0	507	8	1285	8	507	11	504	0	0	295	209
УИК №848	1878	1800	0	529	3	1268	3	529	12	520	0	0	255	265
УИК №849	1522	1400	0	483	33	884	33	483	8	508	0	0	281	227
УИК №881	111	110	0	98	8	4	8	98	35	71	0	0	33	38
УИК №882	100	98	0	97	0	1	0	97	2	95	0	0	60	35
УИК №883	123	100	0	57	31	12	31	57	4	84	0	0	38	46
														
УИК №901	1715	1200	0	421	3	776	3	421	11	413	0	0	286	127
УИК №902	2318	1700	0	698	5	997	5	697	13	689	0	0	446	243
УИК №903	2331	1700	0	634	3	1063	3	634	13	624	0	0	381	243
УИК №904	2238	1600	0	702	2	896	2	700	12	690	0	0	474	216
УИК №905	2479	1500	0	705	28	767	28	705	15	718	0	0	428	290
УИК №906	2097	1500	0	659	7	834	7	659	12	654	0	0	376	278
УИК №907	1343	1000	0	376	8	616	8	376	6	378	0	0	225	153
УИК №908	1156	800	0	267	3	530	3	267	4	266	0	0	159	107
УИК №909	1080	800	0	281	5	514	5	281	3	283	0	0	177	106
УИК №910	1481	1000	0	459	0	541	0	459	7	452	0	0	319	133
УИК №911	1361	1000	0	282	5	713	5	282	7	280	0	0	190	90
УИК №912	1373	1000	0	351	26	623	26	351	11	366	0	0	229	137
УИК №913	1077	800	0	321	94	385	94	321	9	406	0	0	255	151
УИК №914	2118	1500	0	631	7	862	7	631	11	627	0	0	371	256
УИК №915	1524	1100	0	520	6	574	6	520	6	520	0	0	308	212
УИК №916	1320	1000	0	377	10	613	10	377	3	384	0	0	232	152
УИК №917	1382	1000	0	500	11	489	11	500	9	502	0	0	290	212
УИК №918	1919	1400	0	576	7	817	7	576	11	572	0	0	359	213
УИК №919	905	700	0	257	7	436	7	257	6	258	0	0	154	104
УИК №920	1824	1300	0	495	4	801	4	495	4	495	0	0	314	181
УИК №921	1817	1300	0	590	3	707	3	590	9	584	0	0	366	218
УИК №922	2128	1500	0	546	4	950	4	546	9	541	0	0	330	211
УИК №923	694	500	0	118	3	379	3	118	4	117	0	0	77	40
УИК №924	1508	1100	0	246	12	842	12	246	3	255	0	0	128	127
УИК №925	1423	1000	0	414	30	556	30	414	12	432	0	0	243	189
УИК №926	295	300	0	114	0	186	0	114	5	109	0	0	37	72
УИК №980	135	750	0	93	30	627	30	93	5	118	0	0	71	47
